NumIndivs 70
NumLoci 73
Digits 3
Format Lumped
LocusNames chr01A_3015367 chr01A_3015375 chr01A_3015376 chr01A_3015397 chr01A_3101053 chr01A_3105730 chr01A_3106144 chr01A_3106146 chr01A_3106242 chr01A_3127152 chr01A_3128823 chr01A_3130493 chr01A_3130540 chr01A_3134555 chr01A_3137821 chr01A_3137824 chr01A_3140048 chr01A_3140163 chr01A_44210178 chr01A_44219388 chr01A_44262369 chr01A_46301403 chr01A_46309736 chr01A_46339592 chr01A_46345915 chr01A_46395563 chr02_86232260 chr03_92897221 chr03_108117879 chr03_108155481 chr04A_9152821 chr05_53665306 chr05_53673073 chr05_53674337 chr05_53676296 chr05_53676311 chr05_53680085 chr05_53726082 chr05_53736018 chr05_53744513 chr05_53755713 chr05_53755721 chr05_53756519 chr05_53756534 chr05_53763043 chr05_53767254 chr05_53768020 chr05_53769355 chr05_53769552 chr05_53774342 chr05_53794294 chr05_53794376 chr05_53794413 chr05_53794548 chr05_53800793 chr05_53800804 chr05_53800972 chr05_53808339 chr05_53814408 chr05_53814455 chr05_53822116 chr05_53880154 chr05_53880429 chr05_53882233 chr05_53889046 chr05_53889381 chr05_53898529 chr05_53938807 chr06_3474741 chr13_400078 chr13_401538 chr13_17867268 chr13_17901712
58 110110 100110 110110 110110 110100 110110 110100 110100 110110 110110 110100 110100 110100 110110 110100 110110 110110 110110 100100 100100 100100 110100 110100 110100 110110 110110 110100 110110 110100 110110 110110 110110 110100 110100 110110 110110 110110 110110 110100 110100 110100 110100 110100 110100 110100 110110 110110 110110 110100 110110 110110 110110 110100 110100 110100 110100 110110 110100 110100 110110 110100 110110 110100 110110 110100 000000 110100 110110 000000 110110 100110 110100 110100
59 100100 100100 100110 100110 100100 100100 100110 100110 100110 100100 100100 100100 100110 100100 100100 100100 100110 100100 100110 110110 110110 100100 100100 100100 100110 100100 100110 100100 100110 100100 110110 100100 100110 100110 100100 100100 100110 100110 100100 100100 100100 100100 100100 100100 100110 100100 100110 100100 100100 100110 100110 000000 100100 100100 100100 100110 100110 100110 100100 100100 100110 100100 100100 100100 100100 100110 100100 100110 100110 100110 100110 100100 100110
60 100100 100100 100110 100100 100110 100100 100100 100110 100100 100100 100100 100110 100100 100100 100110 100100 100100 100110 100100 110110 110110 100100 100100 100110 100100 100100 100100 100100 100100 110100 100110 100110 100100 100100 100100 100110 100100 100110 100100 100110 100110 100110 100100 100110 100110 110100 100100 100100 100110 100110 100100 100110 100100 100100 100110 100100 100100 100100 100100 100100 100110 100100 100100 000000 100100 100100 100110 100100 000000 100100 100100 100110 100100
61 100110 100110 100100 100100 100110 100100 100110 100110 100100 100100 100100 100100 100110 000000 100110 100100 100100 100100 100100 110100 110110 000000 100100 100100 100110 100100 110110 100100 100100 100110 100110 100110 100100 100100 100110 100100 100100 100100 100100 100110 100110 100110 100100 100100 100110 100100 100110 100100 100110 100110 100110 100100 100100 100110 100100 100100 100100 100110 100110 100110 100100 100110 100100 100110 100110 100110 100110 100100 100110 100100 100110 100100 100110
62 100100 100110 100100 100110 100110 100100 100110 100100 100100 100100 100110 100110 100110 000000 100110 100110 100110 100100 100110 110100 000000 100100 100100 100100 100110 100100 100100 100100 100100 110100 100110 100110 100110 100110 100100 100110 100100 100110 100100 100100 100100 100110 100100 100110 100110 100100 100110 100110 100100 100110 100100 100110 100110 100110 100110 100110 100100 100110 100110 100100 100100 000000 100110 100100 100110 000000 100100 100100 100110 100100 100100 100100 100100
63 100110 100110 100110 100100 100100 100110 100100 100100 100100 100110 100100 100100 100100 100110 100110 100110 100110 100110 100100 110100 110100 000000 000000 100110 100100 100100 100100 100100 100100 110110 110110 100100 100110 100100 100100 100100 100100 100100 100110 000000 100110 100100 100110 100100 100110 110100 100100 100110 100110 100100 100100 100100 100100 100110 100110 100100 100110 100110 100110 100100 100110 100100 100110 100100 100110 100110 100110 100100 000000 100100 100110 100110 000000
64 100100 100100 100100 100100 100110 100100 100100 100110 100110 100110 100100 100110 100100 100100 100100 100100 100110 100100 100100 110110 110100 000000 100110 100100 100110 100110 110100 100100 100110 100110 100110 100100 100110 100100 100110 100110 100100 100100 100110 100110 100100 100110 100100 100110 100100 100110 100110 100100 100110 100100 100100 000000 100110 100110 100100 100110 100100 100100 100110 100110 100100 000000 100110 100110 100110 100100 100110 100100 000000 110100 100110 100100 100110
65 100100 100110 100100 100100 100110 100110 100100 100100 100100 100110 000000 100110 100100 100100 100100 100110 100110 100100 100110 110110 000000 000000 100100 100100 100100 100110 100100 100110 110110 100110 100110 100110 100110 100110 100110 100100 100110 100100 100100 000000 100110 100100 100100 100110 100110 100110 100100 100110 100110 100110 100100 100100 100110 000000 100110 100100 100110 100100 100110 100110 100100 000000 100100 100100 100100 100100 100110 100110 110110 100100 100100 100100 100100
66 100110 100100 100100 100100 100110 000000 100110 100110 100110 100100 100110 100100 100110 000000 100110 100100 100100 100100 100100 110110 110100 000000 100100 100110 100100 100100 100110 100110 100100 100100 100100 100110 100110 100110 100110 100100 100100 100100 100100 100100 100110 100100 100110 100100 100100 100100 100110 100110 100100 100100 100110 100100 100100 100100 100100 100110 100100 100100 100100 100110 100110 100110 100110 100110 100100 100100 100110 100100 100100 100110 100110 100100 100100
67 100100 100110 100100 100100 100100 000000 100110 100100 100110 100110 100110 100110 100100 100100 100100 100100 100100 100100 100100 110110 110110 100110 100110 100110 100110 100110 100100 100100 100110 100100 100110 100100 100110 100100 100110 100110 100110 100110 100110 100100 100100 100110 100110 100110 100100 100110 100100 100110 100110 100100 100100 100110 100100 100100 100110 100110 000000 100100 100100 100110 100100 100100 100110 100100 100100 100100 100110 100110 100100 100100 100110 100100 000000
68 100100 100110 100100 100110 100100 100110 100100 100100 100100 100110 100100 100110 100100 100110 100110 100110 100110 100110 100100 110110 110110 100100 100110 100100 100110 100110 100110 100110 110110 100100 100110 100100 100110 000000 100100 100100 100110 100110 100110 100110 100110 100100 100100 100110 100110 100100 100100 100110 100100 100100 100110 100100 100110 100100 100110 100110 100110 100110 100110 100100 100110 000000 100110 100110 100100 100100 100110 100100 100100 100100 100100 100100 100110
69 100100 100100 100100 100100 100110 100110 100110 100110 100100 100100 100100 100110 100100 100100 100100 100110 100110 100110 100110 110100 110100 100110 100100 100100 100100 100110 100110 100110 000000 110100 100100 100110 100110 100100 100100 100100 100100 100100 100110 000000 100110 100100 100100 100100 100100 100110 100100 100110 100110 100110 100110 000000 100110 100110 100110 110110 100110 100110 100100 100100 100100 100110 100100 100100 100100 100110 100110 100100 100100 110110 100100 100100 100110
70 100100 100110 100110 100100 100110 100110 100110 100110 100100 100110 100100 100110 100100 100100 100100 100100 100110 100110 100110 110100 000000 100110 100100 100100 100100 100110 100110 100110 100100 100110 100110 100100 100100 100110 100100 100110 100100 100100 100110 100100 100110 100100 100110 100110 100110 100110 100110 100110 100110 100110 100110 100100 100110 100110 100110 100110 100100 100110 100110 100100 100110 100100 100110 100100 100110 100100 100100 100100 100110 100110 100110 100100 100110
